time,pr,pr_lag1,pr_lag2,pr_std,price_lag1,price_lag2,tasmax,tasmax_lag1,tasmax_lag2,tasmax_mean,price
2015-01-03,7.945032372246395,8.468941123677705,7.5139451344742225,0.4782492247408064,219.4780247960799,224.96714153011231,26.19400193954556,31.343798774302837,24.57292347189416,27.37024139524752,228.19796596214425
2015-01-04,8.36132240788997,7.945032372246395,8.468941123677705,0.4354366918256248,228.19796596214425,219.4780247960799,29.505632607002173,26.19400193954556,31.343798774302837,27.904089198186185,237.81128192524287
2015-01-05,9.887898530868862,8.36132240788997,7.945032372246395,0.895251913494255,237.81128192524287,228.19796596214425,25.22415871488091,29.505632607002173,26.19400193954556,27.36810310152513,221.0985875928826
2015-01-06,7.960600841305684,9.887898530868862,8.36132240788997,0.8238674543634604,221.0985875928826,237.81128192524287,25.65255540998421,25.22415871488091,29.505632607002173,27.082178486268308,221.95687036738053
2015-01-07,6.862618559262098,7.960600841305684,9.887898530868862,0.9404006598763408,221.95687036738053,221.0985875928826,28.296558429708103,25.65255540998421,25.22415871488091,27.255661335331133,240.94721302744568
2015-01-08,6.831839168911045,6.862618559262098,7.960600841305684,1.0458617852847847,240.94721302744568,221.95687036738053,28.679020394531392,28.296558429708103,25.65255540998421,27.842246609993595,233.68474953649672
2015-01-09,8.568886180157191,6.831839168911045,6.862618559262098,1.0532625505996578,233.68474953649672,240.94721302744568,26.03358009202868,28.679020394531392,28.296558429708103,27.08364394109729,222.1691947463137
2015-01-10,7.407406264868349,8.568886180157191,6.831839168911045,1.0822249110943238,222.1691947463137,233.68474953649672,19.43957542245849,26.03358009202868,28.679020394531392,26.11872586722771,233.1410414690737
2015-01-11,9.018558463893324,7.407406264868349,8.568886180157191,1.1470897926523649,233.1410414690737,222.1691947463137,26.211783143995177,19.43957542245849,26.03358009202868,25.648175943940995,223.93048028094927
2015-01-12,9.317574329185316,9.018558463893324,7.407406264868349,1.0089515843741386,223.93048028094927,233.1410414690737,28.938461000970644,26.211783143995177,19.43957542245849,26.17879055623953,224.75403795645963
2015-01-13,8.077256175614378,9.317574329185316,9.018558463893324,1.0092452395819382,224.75403795645963,223.93048028094927,27.12154532414098,28.938461000970644,26.211783143995177,26.38864625826192,232.67484770909127
2015-01-14,6.824601181304194,8.077256175614378,9.317574329185316,1.0165373428935223,232.67484770909127,224.75403795645963,28.58781896851501,27.12154532414098,28.938461000970644,26.430254906662906,211.96327320363028
