date,price
2015-01-01,100.04967141530112
2015-01-02,100.035844985184
2015-01-03,100.10061383899408
2015-01-04,100.25291682463488
2015-01-05,100.22950148716254
2015-01-06,100.20608779146762
2015-01-07,100.36400907301837
2015-01-08,100.44075254593365
2015-01-09,100.39380510734016
2015-01-10,100.44806111169876
2015-01-11,100.40171934241751
2015-01-12,100.35514636706048
2015-01-13,100.37934259421709
2015-01-14,100.1880145697513
2015-01-15,100.0155227865
2015-01-16,99.9592940335759
2015-01-17,99.85801092154246
2015-01-18,99.88943565480199
2015-01-19,99.79863324724987
2015-01-20,99.65740287711634
2015-01-21,99.8039677540085
2015-01-22,99.78139012395984
2015-01-23,99.78814294442864
2015-01-24,99.64566812580729
2015-01-25,99.59122985335478
2015-01-26,99.60232211232577
2015-01-27,99.48722275458353
2015-01-28,99.52479255641809
2015-01-29,99.46472868742622
2015-01-30,99.43555931244688
2015-01-31,99.37538865122394
2015-02-01,99.56061646967484
2015-02-02,99.55926674720105
2015-02-03,99.45349565430546
2015-02-04,99.53575014551578
2015-02-05,99.41366578051867
2015-02-06,99.43455214001915
2015-02-07,99.23858512763117
2015-02-08,99.10576652274133
2015-02-09,99.12545264632824
2015-02-10,99.19929930432778
2015-02-11,99.21643613244679
2015-02-12,99.20487130420796
2015-02-13,99.17476093464903
2015-02-14,99.02690873561228
2015-02-15,98.95492431477281
2015-02-16,98.90886043767684
2015-02-17,99.01457266029873
2015-02-18,99.04893448925557
2015-02-19,98.8726304737193
2015-02-20,98.90503887065879
2015-02-21,98.86653064261715
2015-02-22,98.79883844258656
2015-02-23,98.86000607147064
2015-02-24,98.96310602372023
2015-02-25,99.05623403563186
2015-02-26,98.97231228330959
2015-02-27,98.94139104572447
2015-02-28,98.97451738886483
2015-03-01,99.07207190157706
2015-03-02,99.02415447779254
2015-03-03,99.00558858012614
2015-03-04,98.89495508272555
2015-03-05,98.77533442031748
2015-03-06,98.85658700255689
2015-03-07,98.99221100541398
2015-03-08,98.98500999325594
2015-03-09,99.08536328304515
