time,tasmax,pr
2015-01-01,24.572923471894157,7.5139451344742225
2015-01-02,31.343798774302833,8.468941123677705
2015-01-03,26.19400193954556,7.945032372246395
2015-01-04,29.505632607002173,8.36132240788997
2015-01-05,25.22415871488091,9.887898530868862
2015-01-06,25.652555409984206,7.960600841305684
2015-01-07,28.296558429708103,6.862618559262098
2015-01-08,28.679020394531392,6.831839168911045
2015-01-09,26.033580092028682,8.568886180157191
2015-01-10,19.43957542245849,7.407406264868349
2015-01-11,26.211783143995177,9.018558463893324
2015-01-12,28.938461000970644,9.317574329185316
2015-01-13,27.12154532414098,8.077256175614378
2015-01-14,28.58781896851501,6.824601181304194
2015-01-15,28.19820600625875,7.643822153331891
2015-01-16,23.24850851956257,9.952285146769752
2015-01-17,30.368033013895364,7.940864514966162
2015-01-18,26.144579336985277,7.638751399868769
2015-01-19,26.54451633471407,9.147738557294122
2015-01-20,29.985556500296212,6.975792573191583
2015-01-21,26.180380244582523,7.88218002119367
2015-01-22,29.322027605878393,7.005222195739375
2015-01-23,26.129858691859283,8.353737628074825
2015-01-24,28.29405632552678,7.893585395305784
2015-01-25,27.89442102375488,7.433071478854372
2015-01-26,27.786023126146233,7.604516593885722
2015-01-27,26.878357612891154,6.76633159783063
2015-01-28,29.346923509863903,9.17845291842644
2015-01-29,29.999486037941463,8.740220450765818
2015-01-30,32.565196739725394,7.387060601382912
2015-01-31,28.21629641275989,7.367794551913167
2015-02-01,30.244818768658927,5.853749930104084
2015-02-02,36.856087834403645,8.561375495892467
2015-02-03,31.555517323805187,8.527719446637507
2015-02-04,31.972493414852753,7.376194909370058
2015-02-05,31.967019626230275,7.034064599273494
2015-02-06,25.69512765188088,6.112822992874998
2015-02-07,30.21554267056057,7.514447439752371
2015-02-08,24.66565732729882,8.31118653193873
2015-02-09,33.804435443540854,8.216220718454995
2015-02-10,36.455176201814595,6.062621240375785
2015-02-11,29.89994120105209,5.4153560596628125
2015-02-12,36.90677993476858,8.658774907173456
2015-02-13,28.37961270581351,6.682265304324812
2015-02-14,28.294725171749548,7.977650003004824
2015-02-15,33.65277902376816,8.289496834230588
2015-02-16,29.668623376220904,7.5000216390203995
2015-02-17,30.74649983527435,6.944995304219392
2015-02-18,35.61284691956018,7.6364595053385615
2015-02-19,29.545695046931076,6.609691885945148
2015-02-20,31.736650631053877,6.530691853456951
2015-02-21,32.342505819026215,8.02907215039846
2015-02-22,33.9386003097902,7.116702266261857
2015-02-23,35.10604050910259,7.462035205687843
2015-02-24,32.702897777896204,5.47435176830248
2015-02-25,29.519271749601245,7.682427873110941
2015-02-26,36.244872261861936,7.7470240035416635
2015-02-27,41.93778725328075,6.353527748488497
2015-02-28,35.86712198718952,7.784516734554893
2015-03-01,35.18000543307878,6.981351700727878
2015-03-02,32.460712984825705,4.9351616836645285
2015-03-03,32.91825065137353,6.2126603430310485
2015-03-04,29.59007670992709,6.957880303685175
2015-03-05,35.69267192999517,7.7995470852929545
2015-03-06,33.512452321294745,5.380067070568358
2015-03-07,37.86002356684527,8.152586516632564
2015-03-08,30.959154935903086,5.4611717889765075
2015-03-09,38.234276294789005,7.516207908885117
2015-03-10,33.27984296732458,6.74064895923763
