time,price,commodity
2015-01-01,224.96714153011231,rice
2015-01-02,219.4780247960799,rice
2015-01-03,228.19796596214422,rice
2015-01-04,237.81128192524292,rice
2015-01-05,221.0985875928826,rice
2015-01-06,221.95687036738053,rice
2015-01-07,240.94721302744566,rice
2015-01-08,233.68474953649672,rice
2015-01-09,222.1691947463137,rice
2015-01-10,233.1410414690737,rice
2015-01-11,223.93048028094927,rice
2015-01-12,224.75403795645963,rice
2015-01-13,232.67484770909132,rice
2015-01-14,211.96327320363028,rice
2015-01-15,214.6844599751672,rice
2015-01-16,227.1447894633996,rice
2015-01-17,223.46959667336105,rice
2015-01-18,237.56659496998319,rice
2015-01-19,226.16582047760232,rice
2015-01-20,221.94044607126528,rice
2015-01-21,251.5326326689212,rice
2015-01-22,235.42604310395322,rice
2015-01-23,239.16150919141288,rice
2015-01-24,225.03568845004577,rice
2015-01-25,234.6305722150468,rice
2015-01-26,241.9689060277145,rice
2015-01-27,230.12884385329852,rice
2015-01-28,246.16844727047726,rice
2015-01-29,237.1711266459545,rice
2015-01-30,241.01975450785665,rice
2015-01-31,238.67171138570487,rice
2015-02-01,263.9563290376946,rice
2015-02-02,246.03580812089817,rice
2015-02-03,236.323149287356,rice
2015-02-04,255.84721477941287,rice
2015-02-05,236.12665131484567,rice
2015-02-06,251.12864962273758,rice
2015-02-07,230.1396331092404,rice
2015-02-08,237.141983016772,rice
2015-02-09,253.07094978073462,rice
2015-02-10,259.15628084446297,rice
2015-02-11,254.14516086364878,rice
2015-02-12,251.9252480882315,rice
2015-02-13,250.7111439857544,rice
2015-02-14,239.56741845750906,rice
2015-02-15,247.77447426863526,rice
2015-02-16,250.97644340449085,rice
2015-02-17,266.75342417698477,rice
2015-02-18,260.2070340438839,rice
2015-02-19,239.71820283120041,rice
2015-02-20,261.1561301178761,rice
2015-02-21,254.61991854003372,rice
2015-02-22,252.24557255047918,rice
2015-02-23,265.66404572624754,rice
2015-02-24,270.3780496336933,rice
2015-02-25,269.8897541415301,rice
2015-02-26,252.6816524328943,rice
2015-02-27,258.46640755977825,rice
2015-02-28,265.34355459575954,rice
2015-03-01,272.24630584759996,rice
2015-03-02,258.1464555353372,rice
2015-03-03,261.5162279698416,rice
2015-03-04,252.73123551715184,rice
2015-03-05,252.24130925636146,rice
2015-03-06,272.7243255469194,rice
2015-03-07,278.5439437683204,rice
2015-03-08,264.6305894243285,rice
2015-03-09,275.7417283881869,rice
2015-03-10,269.6649246363081,rice
2015-03-11,259.9258866329086,rice
2015-03-12,270.3058174962304,rice
2015-03-13,282.3731685617544,rice
2015-03-14,266.9215589802576,rice
2015-03-15,283.19926237289775,rice
2015-03-16,241.61429028869784,rice
2015-03-17,276.2755142373673,rice
2015-03-18,269.1574675651245,rice
2015-03-19,265.5131225879167,rice
2015-03-20,269.622630523976,rice
2015-03-21,249.01672792927388,rice
2015-03-22,266.8686046352053,rice
2015-03-23,272.7948165527221,rice
2015-03-24,284.14641256711445,rice
2015-03-25,264.31392257163117,rice
2015-03-26,261.52617444196477,rice
2015-03-27,264.6933249088522,rice
2015-03-28,278.9499709843797,rice
